                                      extracted_emojis                              Sentiment_score
296  best app for share you videos good platform.. ...     (0.6333333333333333, 0.4000000000000001)
297  its u can whatever u can also keep up with lat...                              (0.640625, 0.7)
298  it is a very budget tik tok video editor which...                  (0.30000000000000004, 0.55)
299  cut the song shot,don't play the whole song li...   (0.15000000000000002, 0.30000000000000004)
300  this is the tik tok editor to use if you want ...                                   (0.0, 0.0)
301  love it in a platform that makes videos its gr...                                (0.65, 0.675)
302  its a realy wonderful app.i get to make my own...                 (0.6375000000000001, 0.8875)
303  great for quick video creation & content shari...    (0.37777777777777777, 0.4166666666666667)
304  wonderful app,so glad i downloaded it, keeps m...                               (0.275, 0.825)
305   love the app all is well thanks for the exper...   (0.39999999999999997, 0.47500000000000003)
306  can tall stop limiting my videos other than th...    (0.39249999999999996, 0.5775000000000001)
307  i'm using triller to expand my fitness busines...                                   (0.0, 1.0)
308  it is amazing cause you don't need data for mu...                 (0.47500000000000003, 0.775)
309  it is fun to be on and it is enjoying to dance...                           (0.29375, 0.41875)
310  i love this app but if it has a this featcer t...                                  (0.75, 0.8)
311  i like making videos it's dope! all the effect...                                   (0.0, 0.0)
312  it honestly went terrific to enjoy for me to a...                               (0.4125, 0.85)
313  remarkable functions on this app for video edi...     (0.6833333333333332, 0.7166666666666667)
314  it's good but it's not perfect just needs actu...   (0.008333333333333325, 0.5333333333333334)
315  its okay, i love the fact it could shuffle sce...                    (0.5, 0.7000000000000001)
316  i have perform my task in other app which both...                              (-0.125, 0.375)
317  this free to install tik tok video editor come...                                   (0.4, 0.8)
318  its fun and funny and fly and yea i like it a ...                   (0.5900000000000001, 0.78)
319  this is by far the best tik-tok video editor i...                                 (0.55, 0.65)
320  its one of the best dancing and music apps eve...                                   (0.7, 0.4)
321  its an amazing experience ,i use the songs i l...                                 (0.55, 0.75)
322  i love triller upcoming florida rapper and i w...    (0.4633333333333334, 0.39999999999999997)
323  the best app to express yourself.... love it ....                            (0.453125, 0.475)
324  this app is good bt if we compare this with ti...                                  (0.6, 0.55)
325  its fun you can do many things on this but som...    (0.10000000000000002, 0.5333333333333333)
326  love it. get to express urself and share your ...                                   (0.5, 0.6)
327  good app love it just that the viedeos that i ...                    (0.6, 0.6000000000000001)
328  oh thriller is really cool you get to pick you...     (0.2986111111111111, 0.7347222222222222)
329  i love it if you are into making cool short vi...     (0.2833333333333333, 0.5166666666666667)
330  the perfect time to express ourselves as human...                   (0.7333333333333334, 0.75)
331  awesome music list. i love this app i love mak...     (0.6666666666666666, 0.7333333333333334)
332  this tool is excellent for video editing, and ...                                 (0.58, 0.77)
333  this editing app is soo good and i get the slo...    (0.19999999999999996, 0.5333333333333333)
334  triller is also like tiktok . i really enjoy t...     (0.3833333333333333, 0.8333333333333334)
335  it lets me to put very stylish tik tok around ...                                  (0.65, 1.0)
336  5⭐ the best platform to create, edit & share y...                                   (1.0, 0.3)
337  really nice application for video making and v...                                   (0.6, 1.0)
338  it's super fun and it's like tik tok but with ...    (0.2111111111111111, 0.48888888888888893)
339  the perfect time to express ourselves as human...                   (0.7333333333333334, 0.75)
340  it's good for editing videos with songs and fo...                                (0.75, 0.675)
341  very easy to edit videos and useful for free p...                   (0.42111111111111105, 0.6)
342  i would say it's a pretty good app. might need...                           (0.38125, 0.64375)
343  i'm undecided is my favorite song and they hav...                                 (0.45, 0.75)
344  really awesome app, the music, the shuffle...i...                                 (0.9, 0.875)
345  i love this app. so easy to use and super fun....                   (0.4133333333333333, 0.56)
346  so far its easier than tik tok bjt basically s...    (0.11666666666666665, 0.6208333333333333)
347  like it becuz of its edits and its not hard to...    (0.23194444444444448, 0.6138888888888889)
348  it is the best video maker with music. incredi...                    (0.9666666666666667, 0.5)
349  waohhh i really enjoyed this version of trille...                                   (0.5, 0.6)
350  i love this app but all it needs is the charts...                                   (0.5, 0.6)
351  it is very fun i get to express my goofy side ...                   (0.4633333333333334, 0.62)
352  it makes editing easy and it's creative i like...     (0.4666666666666667, 0.9166666666666667)
353  i love this app  i have no problems with it, i...     (0.4666666666666667, 0.7166666666666667)
354  it is a nice platform for small creators and b...   (0.16249999999999998, 0.43124999999999997)
355  its pretty good app imma be honest. it works p...     (0.5208333333333334, 0.7458333333333332)
356  love this app . i get to interact with my kids...     (0.3666666666666667, 0.3333333333333333)
357  i think its a good app its fun to make videos ...     (0.2916666666666667, 0.6166666666666667)
358  fun way to kill time! fun to play around with ...                                (0.3375, 0.2)
359  because of this, i never delete this program. ...    (0.14285714285714285, 0.5678571428571428)
360  great app wish it had some more audio clips li...                                (0.65, 0.625)
361  easy to use and very fun making promotional vi...     (0.4116666666666667, 0.5466666666666666)
362  this app is perfect but how can i know the peo...                                   (1.0, 1.0)
363  love the app so much,takes fun of dance and ot...   (0.20227272727272724, 0.40590909090909094)
364  opps i have been using this app but not for th...                 (0.125, 0.30000000000000004)
365  hi everyone this good, i like old one then thi...                   (0.27999999999999997, 0.3)
366  its really easy to use and is better than tik ...     (0.4444444444444445, 0.6111111111111112)
367  i have a app named tik tok and triller it have...                                   (0.1, 0.5)
368  it's a very wonderful and fun app with minimal...                   (0.39999999999999997, 0.6)
369  very nice,but when i save my video it foes not...                                   (0.2, 0.3)
370  it ok but i wish they did just have shuffle mo...                               (0.325, 0.575)
371             a bit slow at first but solid content.  (-0.01666666666666668, 0.27777777777777773)
372  this app is great for young dancers to put out...                              (0.4625, 0.575)
373  thanks but please can we get a better app that...    (0.26666666666666666, 0.3666666666666667)
374        super easy to use and popular music choices    (0.45555555555555555, 0.7999999999999999)
375  this is nice app for short videos platform. be...                  (0.22999999999999998, 0.58)
376  this application always offers me very nice qu...     (0.4811111111111111, 0.6666666666666666)
377  i love this app so much it is so fun to look a...                                   (0.4, 0.4)
378  lot's of fun and easy to post videos. also so ...     (0.3277777777777778, 0.6777777777777777)
379  always having fun...when am bored in the house...                                 (-0.25, 1.0)
380  to my knowledge, this is the greatest video ed...                                   (1.0, 1.0)
381  awesome app. enjoy every time when i use this ...     (0.4666666666666666, 0.6190476190476191)
382                 good for short videos and editing.                  (0.35, 0.45000000000000007)
383  waited for long for such an amazing app with f...                   (0.2926666666666667, 0.67)
384  the best app on google play store. fun all thr...                    (0.6, 0.3666666666666667)
385  this app is the best way to create and control...    (0.4222222222222222, 0.29444444444444445)
386  very fun, wide variety of songs, amazing filters❤                   (0.2966666666666667, 0.52)
387  awesome app but video loading is slow please f...     (0.2333333333333333, 0.7999999999999999)
388  i randomly install tik tok video editor when i...                                  (0.0, 0.75)
389  i love triller, i've loved using it since 2017...     (0.4666666666666666, 0.5333333333333333)
390  i love this app so much it doesnt have ads or ...                    (0.5, 0.5166666666666667)
391  why is my music skipping when i try to make an...                         (0.30517578125, 0.2)
392  this app is really nice but it shows the same ...               (0.32499999999999996, 0.43125)
393  this is so much fun you can you give me videos...     (0.4794642857142857, 0.5419642857142857)
394  just keeps me busy and entertained especially ...                                 (0.05, 0.65)
395  great app as a aritst it gives me a chance to ...     (0.4681818181818182, 0.6022727272727273)
396  i love the way they shuffle, it's like triller...                               (0.375, 0.425)
397  triller is a funnu and very great app i think ...     (0.7666666666666666, 0.9249999999999999)
