                                      extracted_emojis                               Sentiment_score
359  very good good videos everything works good bu...      (0.7699999999999999, 0.6600000000000001)
360  if you just want to watch videos based on what...                                  (0.25, 0.35)
361  an amazing app because it's so fun you can be ...                  (0.35000000000000003, 0.775)
362  hi! it is .. good app but i have only one prob...                                   (0.35, 0.8)
363  it so much fun to do all the dances that there...     (0.4444444444444445, 0.18888888888888888)
364  very good working app i really happy for this ...     (0.32366666666666666, 0.5197179487179489)
365  can you remove the dislike button? we can lite...     (0.30833333333333335, 0.7083333333333334)
366  love it. extremely tailored to every individua...                               (0.24375, 0.75)
367  i love to talk it's fun it's funny it's inform...   (-0.024999999999999967, 0.5944444444444444)
368  i love this app it's a way that you can stay u...                                    (0.5, 0.6)
369  definitely never a dull moment on tiktok!!! pl...                    (0.28483072916666674, 0.5)
370  excellent social media platform no ad's and a ...     (0.24291666666666667, 0.5058333333333334)
371  the best possible app in the world.somthing ne...      (0.4287878787878787, 0.6348484848484849)
372  it's a good app but some us we don't have a pl...                    (0.6499999999999999, 0.75)
373  tiktok is great and keeps me entertained and m...      (0.2661904761904762, 0.5214285714285715)
