                                      extracted_emojis                               Sentiment_score
327  it is very nice in it has very nice fichures i...      (0.6555555555555556, 0.7888888888888889)
328  this aap very good for social media platforms/...     (0.08564738292011018, 0.5998347107438016)
329  this app is fantastic to have this also helps ...                                 (0.475, 0.75)
330  i am really love using this. especially the ig...                                 (0.395, 0.72)
331  it gives me an opportunity to save and write a...                                 (0.0, 0.2625)
332  instagram is my first love however sometimes i...    (0.22999999999999998, 0.26666666666666666)
333  instagram is a great social media app.! it has...     (0.3354166666666667, 0.36041666666666666)
334  instagram is a vast and very supported social ...    (0.07777777777777778, 0.45555555555555555)
335  hi i like this app but i have a problem with t...                    (0.3, 0.44166666666666665)
336  hey, it's a great app but i would like you to ...      (0.3805555555555556, 0.6611111111111111)
337  instagram is the best app to post pictures and...                        (0.3779296875, 0.3375)
338  instagram is really great and the best things ...                    (0.41, 0.5277777777777778)
339  definitely would recommend this app to talk to...     (0.19454545454545455, 0.6318181818181818)
340  i think it would be cool if you could let us p...                                (0.4375, 0.65)
341  it was a amazing experience. i loved this app....                    (0.65, 0.8500000000000001)
342  it's an amazing app for social media users and...      (0.3680555555555556, 0.5736111111111112)
343  every single day i enjoy using instagram and u...     (0.31623376623376626, 0.4797077922077922)
344  picture-in-picture playback. continue watching...   (-0.10999999999999999, 0.19249999999999998)
345  love the app it's just every time i open it my...                                   (0.25, 0.4)
346  great platform to show your talent and knowled...                   (0.43333333333333335, 0.75)
347  i love this app but i really don't use it much...    (0.012499999999999989, 0.4791666666666667)
348  this very good social media app i love this aa...    (0.17047619047619048, 0.44833333333333336)
349  the whole feature are amazing.the best way to ...                                   (0.6, 0.35)
350  the app provides me with feed i totally favour...     (0.23333333333333334, 0.6770833333333334)
351  i need help when i am messaging my friend whic...                                 (0.0, 0.5625)
352  i am enjoying the use of instagram for buisnes...      (0.5666666666666667, 0.6083333333333334)
353  the app is good but i am facing a problem from...    (0.12499999999999999, 0.44166666666666665)
354  instagram is a really fun app but, it is quite...                                    (0.5, 0.4)
355  i love this app i get to text my friends and s...                   (0.325, 0.5833333333333334)
356  after the recent update it is not working well...    (-0.19999999999999996, 0.6433333333333333)
357  my overall experience is too good beacuse this...                   (0.35, 0.30000000000000004)
358  very good platform for learning new things , b...       (0.503560606060606, 0.5349242424242424)
359  i just post pictures of my traffic lights, str...     (0.11335978835978834, 0.4318783068783068)
360  i love this app this app is very interesting w...                                 (0.526, 0.73)
361  great app. i'm very happy instagram is shuttin...      (0.6611111111111111, 0.7597222222222222)
362  great platform to extend your reach to other a...                            (0.34375, 0.53125)
363  each day i get to learn more new things on ins...     (0.21212121212121213, 0.5181818181818182)
364  it is nice but it has one problem after some d...                  (0.32916666666666666, 0.675)
365  my captions have stopped uploading and my edit...                                    (0.0, 0.0)
366  instagram is the nyc app for share own style's...      (0.2909090909090909, 0.6363636363636364)
367  it's a amazing superb app. we can connect with...      (0.7000000000000001, 0.9666666666666667)
368  whenever trying to open the app it opens and s...    (-0.13333333333333333, 0.6666666666666666)
369  i enjoy all the great photos and videos. a lot...      (0.4454545454545455, 0.5681818181818182)
370  this app is like my life...it has inspired me ...      (0.5144230769230769, 0.6307692307692309)
371  i love this app it is what i use to help promo...                    (0.22, 0.5466666666666667)
372  all-in-one the best app one can ever find on p...                   (0.18749999999999994, 0.55)
373  instagram is a good platform to grow business....      (0.5666666666666667, 0.5666666666666668)
374  instagram is awesome if you use it for honest ...                                   (1.0, 0.95)
375  it stick sometimes but it work good after a wh...                     (0.7, 0.6000000000000001)
376  instagram is a really awesome social media pla...     (0.36319444444444443, 0.6027777777777777)
377  best ever social media app my all friends use ...     (0.2041666666666667, 0.13833333333333334)
378  dear instagram them, my problem this, i have a...                                    (0.0, 1.0)
379  everything was going well but before few day i...   (-0.033333333333333326, 0.6666666666666666)
380  this is a very good application for business, ...      (0.6199999999999999, 0.5800000000000001)
381  i have been an ios user for quite a few years ...   (-0.06944444444444443, 0.41111111111111115)
382  very good & quick,a very good platform to keep...      (0.9099999999999999, 0.7800000000000001)
383  it's a great app but i am having a problem in ...                                   (0.8, 0.75)
384  i love that in the app you can see reels and p...                                    (0.5, 0.6)
